class, NCLOC, DCP, NOCom,WMC
./src/main/java/org/jfree/chart/plot/pie/AbstractPieLabelDistributor.java,24,75,2,9
./src/main/java/org/jfree/chart/plot/pie/MultiplePiePlot.java,355,38.15,5,71
./src/main/java/org/jfree/chart/plot/pie/PieLabelDistributor.java,106,46.46,2,31
./src/main/java/org/jfree/chart/plot/pie/PieLabelLinkStyle.java,6,87.5,2,7
./src/main/java/org/jfree/chart/plot/pie/PieLabelRecord.java,114,54.94,2,25
./src/main/java/org/jfree/chart/plot/pie/PiePlot.java,1547,47.04,6,327
./src/main/java/org/jfree/chart/plot/pie/PiePlotState.java,81,66.11,2,9
./src/main/java/org/jfree/chart/plot/Plot.java,656,50.27,22,190
./src/main/java/org/jfree/chart/plot/PlotOrientation.java,11,83.08,4,8
./src/main/java/org/jfree/chart/plot/PlotRenderingInfo.java,117,55.68,11,28
./src/main/java/org/jfree/chart/plot/PlotState.java,14,77.05,4,7
./src/main/java/org/jfree/chart/plot/PolarAxisLocation.java,11,82.26,6,6
./src/main/java/org/jfree/chart/plot/PolarPlot.java,988,46.33,27,249
./src/main/java/org/jfree/chart/plot/RingPlot.java,331,47.46,22,70
./src/main/java/org/jfree/chart/plot/SeriesRenderingOrder.java,5,91.38,5,7
./src/main/java/org/jfree/chart/plot/SpiderWebPlot.java,677,47.15,24,114
./src/main/java/org/jfree/chart/plot/ThermometerPlot.java,764,47.09,20,157
./src/main/java/org/jfree/chart/plot/ValueAxisPlot.java,6,88.68,4,8
./src/main/java/org/jfree/chart/plot/ValueMarker.java,43,68.15,4,15
./src/main/java/org/jfree/chart/plot/WaferMapPlot.java,237,39.07,10,33
./src/main/java/org/jfree/chart/plot/XYCrosshairState.java,6,88.46,2,7
./src/main/java/org/jfree/chart/plot/XYPlot.java,2732,45.15,31,802
./src/main/java/org/jfree/chart/plot/Zoomable.java,18,88.08,6,25
./src/main/java/org/jfree/chart/renderer/AbstractRenderer.java,1235,55.48,30,346
./src/main/java/org/jfree/chart/renderer/AreaRendererEndType.java,6,89.66,4,7
./src/main/java/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,925,40.01,28,185
./src/main/java/org/jfree/chart/renderer/category/AreaRenderer.java,192,35.79,10,36
./src/main/java/org/jfree/chart/renderer/category/BarPainter.java,11,86.9,7,14
./src/main/java/org/jfree/chart/renderer/category/BarRenderer.java,683,43.08,16,168
./src/main/java/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java,596,41.11,16,122
./src/main/java/org/jfree/chart/renderer/category/CategoryItemRenderer.java,170,88.19,16,201
./src/main/java/org/jfree/chart/renderer/category/CategoryItemRendererState.java,64,65.59,3,19
./src/main/java/org/jfree/chart/renderer/category/CategoryStepRenderer.java,174,46.3,8,41
./src/main/java/org/jfree/chart/renderer/category/DefaultCategoryItemRenderer.java,7,86.54,2,8
./src/main/java/org/jfree/chart/renderer/category/GanttRenderer.java,351,36.76,12,58
./src/main/java/org/jfree/chart/renderer/category/GradientBarPainter.java,215,36.76,7,38
./src/main/java/org/jfree/chart/renderer/category/GroupedStackedBarRenderer.java,218,34.34,9,40
./src/main/java/org/jfree/chart/renderer/category/IntervalBarRenderer.java,117,46.82,6,28
